en;jp
<number> - Sets the maximum upload speed in kilobytes per second. 0 means no limit.;<number> - 最大アップロード速度をキロバイト毎秒で設定します。0 は無制限を意味します。
Max. upload slots;最大アップロードスロット
Only admins can pause: __1__.;管理者のみポーズ可能: __1__。
Password;パスワード
<true/false> - Sets if a user's identity has to be confirmed to join the server.;<true/false> - サーバーに参加する際にユーザー名を認証する必要があるかどうかを設定します。
LAN visibility: __1__.;LAN 公開: __1__。
Steam visibility: __1__.;Steam公開: __1__。
Public visibility: __1__.;一般公開: __1__。
Server name: __1__;サーバー名: __1__
Server name changed to: __1__;サーバー名は__1__に変更されました。
The server has no description.;サーバーの説明はありません。
Server description: __1__;サーバーの説明: __1__
The server description is already empty.;サーバーの説明は既に空欄です。
Server description cleared.;サーバーの説明がクリアされました。
Server description set to: __1__;サーバーの説明が__1__に設定されました。
The server has no tags.;サーバーのタグはありません。
Server tags: __1__;サーバータグ: __1__
The server already has no tags.;サーバーのタグは既にありません。
Server tags cleared.;サーバーのタグがクリアされました。
Server tags set to: __1__;サーバーのタグが__1__に設定されました。
__1__ kilobytes per second.;__1__ キロバイト/秒。
Unlimited.;無制限
Maximum upload rate changed to __1__ kilobytes per second.;最大アップロード速度が __1__ kB/sに変更されました。
Upload limit removed.;最大アップロード速度制限が削除されました。
__1__ slots.;__1__ スロット
Number of upload slots changed to __1__.;アップロードスロット数を__1__に変更しました。
Upload slot limit removed.;最大アップロードスロット制限が削除されました。
Public visibility set to: __1__.;一般公開は以下のように設定されます: __1__。
Steam visibility set to: __1__.;Steam公開は以下のように設定されます: __1__。
LAN visibility set to: __1__.;LAN 公開は以下のように設定されます: __1__。
Value is not valid.;無効な値です。
Server password removed.;サーバーパスワードが削除されました。
Server password changed.;サーバーパスワードが変更されました。
Player limit removed.;プレイヤー上限が削除されました。
Maximum number of players changed to __1__.;最大プレイヤー数が __1__ に変更されました。
Allow Lua commands set to __1__.;__1__ が許可Luaコマンドに設定されました。
Allow debug settings set to __1__.;デバッグの設定を__1__に設定するのを許可する
This GUI can only be used in a multiplayer game.;このGUIはマルチプレイでのみ使用できます。
Expected value to set as the third parameter.;3 番目のパラメータに設定値を指定する必要があります。
Unknown config: __1__;不明な設定: __1__
Has password;パスワードが必要
The server currently doesn't have a password.;サーバーには現在パスワードがありません。
Autosave is disabled.;オートセーブは無効です。
Autosave every __1__ __plural_for_parameter_1_{1=minute|rest=minutes}__.;オートセーブの間隔を__1__分に設定しました。
